,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI,Publication type
42359,3,,,8,0,2,89.492,22,2.27,Conference Paper
68379,3,2.6,40.0,22,1,1,91.62700000000001,14,0.39,Article
92365,2,0.7,63.0,25,1,1,99.052,10,0.49,Article
37450,4,1.8,36.0,11,1,3,86.605,24,2.41,Article
58546,2,5.2,14.0,36,0,2,98.708,16,1.05,Article
17278,3,,,11,0,2,98.182,43,6.48,Conference Paper
95986,1,1.8,36.0,7,1,1,86.669,10,1.03,Article
72206,7,,,40,0,2,98.67200000000001,13,3.23,Conference Paper
3377,2,,,18,0,1,99.46799999999999,122,14.31,Conference Paper
49274,3,,,5,0,2,86.279,19,1.93,Conference Paper
74323,5,2.8,31.0,30,0,2,99.559,13,0.8,Article
63319,4,5.6,5.0,23,0,2,97.01799999999999,15,1.24,Article
55843,5,16.3,1.0,21,0,1,97.12799999999999,17,1.05,Article
20600,3,4.9,17.0,74,1,2,99.404,38,1.98,Article
49315,2,10.0,3.0,32,1,2,73.97,19,1.15,Article
85409,4,,,37,0,1,95.425,11,1.78,Conference Paper
97630,1,2.5,30.0,10,0,2,87.48100000000001,9,0.4,Article
45167,4,1.3,64.0,40,0,2,99.809,20,1.3,Article
70920,2,8.7,5.0,16,1,2,83.89200000000001,13,3.64,Conference Paper
42428,7,5.2,8.0,71,0,2,99.39200000000001,22,1.53,Article
40272,2,5.2,5.0,14,0,1,99.2,23,2.64,Article
38210,5,1.9,51.0,23,1,6,98.82600000000001,24,1.87,Article
60520,2,5.3,2.0,80,0,2,72.205,16,0.64,Article
55020,3,,,5,0,2,88.501,17,2.75,Conference Paper
39189,3,2.1,42.0,125,0,2,98.82,23,1.24,Article
97115,3,3.6,16.0,37,0,4,87.541,9,0.53,Article
95649,6,8.8,4.0,30,0,3,84.81700000000001,10,0.66,Article
27690,5,9.5,2.0,17,1,1,99.212,30,3.38,Article
31108,3,5.2,14.0,20,1,2,96.171,28,1.58,Article
43008,4,5.8,11.0,31,1,3,83.803,21,0.93,Review
46933,2,5.5,8.0,64,0,2,95.302,20,0.82,Article
96760,4,,,19,1,7,76.42699999999999,9,2.83,Conference Paper
50707,2,3.6,16.0,22,0,2,95.81200000000001,18,1.37,Article
3028,6,5.3,6.0,24,1,5,99.478,130,4.98,Article
17634,4,8.2,5.0,54,1,3,99.88600000000001,43,2.68,Article
8954,4,2.8,21.0,161,0,5,90.57600000000001,67,4.22,Article
22257,6,2.0,40.0,25,1,1,99.396,36,3.04,Article
31901,3,,,19,0,2,91.78200000000001,27,6.58,Conference Paper
56164,2,3.2,30.0,18,0,2,95.435,17,1.31,Article
14445,2,0.5,82.0,44,0,2,74.056,49,17.5,Chapter
78693,4,3.6,16.0,12,0,2,90.685,12,0.53,Article
41780,5,5.2,17.0,97,0,5,99.69200000000001,22,3.34,Conference Paper
47359,7,4.9,17.0,20,0,4,98.524,20,1.21,Article
24384,3,1.5,50.0,54,1,2,92.821,34,1.85,Article
48672,2,,,27,0,1,81.385,19,2.96,Conference Paper
84728,11,1.0,65.0,10,0,2,93.63,11,2.53,Conference Paper
57387,7,3.9,26.0,17,0,4,60.287,16,0.85,Article
17117,4,0.8,72.0,24,0,2,42.489,43,3.1,Article
89635,6,4.0,14.0,14,0,18,97.48200000000001,10,0.88,Article
31370,5,,,12,0,2,84.065,28,2.65,Conference Paper
52672,3,4.8,8.0,39,0,2,44.095,18,1.0,Article
58223,2,1.8,41.0,97,1,2,91.539,16,1.1,Article
35219,3,6.8,7.0,22,1,8,98.035,25,1.67,Article
15319,2,8.1,1.0,84,0,1,82.771,47,7.78,Article
62265,1,,,53,0,1,98.154,15,3.14,Conference Paper
2646,5,4.3,7.0,218,1,3,99.15100000000001,140,11.27,Article
26079,4,,,11,1,2,29.199,32,4.94,Conference Paper
80326,2,3.2,13.0,61,0,1,75.51100000000001,12,0.68,Article
9842,5,3.5,30.0,79,1,7,5.784,63,2.61,Article
65997,5,3.5,24.0,16,0,2,93.066,14,1.39,Article
32710,3,8.8,8.0,36,0,3,94.867,27,0.79,Article
87319,3,4.7,8.0,15,1,11,80.67699999999999,11,2.34,Conference Paper
53530,5,1.0,65.0,28,0,3,94.694,18,5.06,Conference Paper
88746,4,3.5,25.0,16,0,1,76.33800000000001,10,2.17,Conference Paper
45104,4,8.2,1.0,47,0,1,91.566,20,1.33,Article
95705,8,4.8,17.0,32,0,5,44.735,10,0.69,Article
86423,5,,,22,0,3,94.522,11,1.12,Conference Paper
18499,2,,,10,0,2,62.647,41,2.4,Conference Paper
71021,5,,,10,0,5,97.03,13,1.82,Conference Paper
67283,6,2.0,40.0,32,1,4,52.943000000000005,14,0.76,Article
62730,1,,,7,0,1,99.796,15,1.27,Conference Paper
17591,3,3.5,25.0,7,1,2,99.057,43,6.26,Conference Paper
90283,5,3.0,22.0,19,1,3,99.56,10,0.52,Article
38855,10,1.8,44.0,66,0,3,87.777,23,1.34,Article
15706,7,7.3,3.0,29,0,4,92.384,46,3.59,Article
11503,5,7.0,10.0,12,0,2,88.303,57,5.05,Conference Paper
78361,3,,,13,0,1,96.148,12,3.21,Conference Paper
95432,2,1.9,51.0,30,0,1,99.146,10,0.12,Article
24243,5,1.4,65.0,83,1,2,98.04799999999999,34,1.01,Review
56490,4,,,16,0,2,84.897,17,2.09,Conference Paper
94691,4,1.6,40.0,19,1,3,70.473,10,1.21,Conference Paper
62630,5,3.1,30.0,26,0,3,91.024,15,1.27,Article
99624,2,0.8,79.0,60,1,1,59.412,9,2.01,Conference Paper
42051,3,,,8,0,3,70.862,22,3.58,Conference Paper
1225,6,,,23,0,5,95.97399999999999,221,25.91,Conference Paper
65828,3,,,4,0,1,96.946,14,0.93,Conference Paper
68370,5,,,12,1,5,98.48700000000001,14,1.69,Conference Paper
50854,4,4.8,8.0,29,1,2,99.805,18,0.97,Article
35812,3,,,26,0,1,97.088,25,4.28,Conference Paper
18163,7,1.6,40.0,29,0,4,98.796,42,5.07,Conference Paper
54573,4,,,30,1,2,95.425,17,0.58,Conference Paper
34775,3,1.8,57.0,26,1,3,96.852,25,1.53,Article
30754,4,3.4,21.0,17,0,3,85.75399999999999,28,1.51,Article
40615,4,4.9,17.0,51,0,5,98.524,22,1.21,Article
18305,6,1.6,40.0,20,1,4,95.00399999999999,41,6.76,Conference Paper
8462,8,6.5,9.0,20,1,3,98.684,69,3.81,Article
94257,4,1.6,49.0,16,0,3,56.398,10,0.64,Article
29175,4,,,17,1,3,90.038,29,3.79,Conference Paper
27801,5,4.7,20.0,27,0,6,99.34100000000001,30,1.25,Article
75289,2,2.2,40.0,39,0,1,88.06,13,0.92,Article
76136,1,2.2,44.0,19,1,1,81.459,12,0.71,Article
31626,2,1.6,40.0,11,1,2,98.723,27,5.07,Conference Paper
96658,5,1.8,45.0,16,0,2,99.07600000000001,9,2.1,Conference Paper
96847,7,,,15,0,1,97.01700000000001,9,2.16,Conference Paper
4767,2,2.0,40.0,78,1,3,98.726,99,2.15,Review
1866,2,7.8,7.0,319,0,2,95.734,174,3.84,Review
29058,3,9.6,3.0,24,0,3,92.556,29,1.15,Article
49084,2,2.5,36.0,15,0,2,69.821,19,1.93,Article
13569,3,5.4,8.0,7,0,1,71.462,51,2.36,Article
28891,3,,,24,0,1,99.855,29,4.36,Conference Paper
2242,6,5.4,5.0,245,1,8,95.734,156,16.68,Article
52187,3,7.4,1.0,29,1,4,98.384,18,0.88,Article
12635,3,4.9,17.0,51,0,1,98.611,54,3.1,Article
64520,2,6.0,5.0,8,0,2,71.764,15,2.05,Conference Paper
63373,6,,,7,0,3,99.71700000000001,15,6.09,Conference Paper
91566,2,,,9,0,1,66.226,10,2.19,Conference Paper
88963,3,6.2,4.0,63,0,2,99.945,10,0.49,Article
83141,4,,,12,0,1,81.21300000000001,11,1.36,Conference Paper
44173,4,,,19,1,1,93.101,21,6.37,Conference Paper
17631,1,4.9,17.0,16,0,1,98.48200000000001,43,3.1,Article
92662,4,4.6,21.0,73,0,2,84.67200000000001,10,0.65,Article
56682,5,5.4,14.0,24,1,6,90.93,17,0.66,Article
37106,9,5.4,14.0,25,1,2,90.742,24,0.84,Article
385,4,,,56,0,1,98.395,456,35.8,Conference Paper
46930,1,,,52,0,1,69.873,20,2.64,Conference Paper
39060,1,6.0,4.0,88,0,1,88.45100000000001,23,0.9,Review
11518,4,1.6,40.0,24,0,9,97.822,57,7.0,Conference Paper
18171,4,5.2,14.0,34,1,3,66.89699999999999,42,3.15,Article
53669,2,4.8,7.0,18,0,4,98.756,17,1.58,Article
72405,2,,,8,0,1,95.015,13,2.08,Conference Paper
42458,3,2.4,38.0,30,0,1,97.10700000000001,22,1.32,Article
68974,2,0.7,81.0,48,0,1,97.19,14,2.14,Conference Paper
29160,5,16.3,1.0,9,0,1,90.946,29,1.47,Article
98347,2,,,23,0,1,71.567,9,1.57,Conference Paper
93343,3,,,11,0,1,98.473,10,2.86,Conference Paper
2883,2,5.5,18.0,55,0,2,94.86200000000001,134,5.9,Article
94035,2,1.6,40.0,14,0,2,46.684,10,1.45,Conference Paper
42896,3,1.9,51.0,30,1,2,97.225,21,1.29,Article
13547,1,5.4,14.0,42,1,1,99.90899999999999,51,1.16,Review
13492,4,,,34,0,2,57.913999999999994,51,2.63,Conference Paper
26155,3,6.0,4.0,44,0,3,40.152,32,1.55,Article
24508,3,4.9,17.0,16,0,3,98.242,33,1.47,Article
86082,8,,,14,0,2,78.545,11,1.64,Conference Paper
52768,1,1.6,40.0,17,1,2,94.126,18,3.38,Chapter
8706,4,1.3,37.0,6,1,3,97.01799999999999,68,4.89,Article
17964,3,8.7,5.0,36,0,2,73.62899999999999,42,2.74,Article
68132,4,3.1,29.0,33,0,3,95.292,14,2.17,Conference Paper
43712,9,,,13,0,3,99.152,21,3.87,Conference Paper
77606,4,2.6,25.0,25,0,2,99.354,12,1.92,Article
47492,4,0.8,79.0,32,1,2,98.67,20,2.34,Conference Paper
31977,24,1.0,65.0,7,0,7,70.695,27,10.54,Conference Paper
68153,4,4.2,12.0,21,0,3,99.36399999999999,14,0.64,Article
90896,2,3.2,18.0,23,0,1,90.027,10,0.46,Article
85839,5,5.1,8.0,94,0,8,99.685,11,0.63,Article
22750,3,6.2,4.0,99,0,1,96.802,35,1.35,Article
20015,6,3.6,16.0,101,0,8,91.87700000000001,39,1.68,Article
71175,4,3.4,13.0,29,0,4,96.67,13,0.77,Article
72822,2,2.9,19.0,17,1,2,99.507,13,0.9,Article
91974,4,1.0,50.0,15,0,2,98.57799999999999,10,5.03,Chapter
92453,5,0.7,73.0,19,0,2,49.648999999999994,10,2.14,Conference Paper
97087,4,,,7,0,2,97.462,9,1.82,Conference Paper
79542,5,,,20,0,2,98.684,12,3.19,Conference Paper
38143,1,7.6,6.0,32,0,1,99.12200000000001,24,1.29,Article
27743,2,,,10,0,1,99.744,30,5.89,Conference Paper
39431,2,1.6,40.0,15,1,3,93.83,23,2.41,Conference Paper
36013,3,6.4,12.0,23,1,2,99.62200000000001,25,2.19,Article
18432,4,0.9,54.0,63,0,2,99.101,41,0.89,Review
51961,2,5.8,13.0,12,0,1,98.206,18,1.36,Article
58901,5,2.2,48.0,20,1,7,72.07300000000001,16,0.76,Article
24762,4,,,21,0,2,90.103,33,6.12,Conference Paper
41500,3,3.0,24.0,31,1,2,96.12700000000001,22,1.05,Article
71584,3,,,36,0,1,72.414,13,3.96,Conference Paper
34066,5,,,8,1,3,98.556,26,4.16,Conference Paper
35592,5,2.2,22.0,28,0,1,98.824,25,1.69,Article
95869,3,,,5,1,1,94.835,10,2.45,Conference Paper
10440,4,5.2,8.0,58,1,2,99.416,61,3.71,Article
54292,7,3.6,16.0,43,0,5,85.73899999999999,17,1.26,Article
1821,4,1.6,40.0,14,0,2,99.365,177,17.63,Conference Paper
36735,4,4.1,18.0,29,1,2,97.655,24,2.22,Article
17332,3,6.2,4.0,105,0,2,99.441,43,2.82,Article
45134,3,1.1,70.0,35,0,3,99.602,20,0.58,Article
13268,3,2.9,27.0,49,1,3,77.48,52,1.26,Review
80033,2,,,22,0,1,99.61,12,3.72,Conference Paper
5242,2,4.7,9.0,174,0,1,99.647,93,2.68,Review
37255,3,5.2,17.0,25,1,3,88.40100000000001,24,0.94,Article
59363,4,,,10,0,2,97.785,16,2.43,Conference Paper
9431,3,3.8,13.0,21,1,1,66.178,65,4.31,Article
23617,4,5.4,8.0,10,1,2,98.009,34,2.47,Article
63090,3,5.2,14.0,16,1,3,87.795,15,1.18,Article
82266,2,,,6,0,1,70.229,11,2.88,Conference Paper
73202,1,1.0,65.0,7,0,1,61.511,13,5.06,Conference Paper
34274,3,7.0,3.0,139,0,1,98.67,26,1.03,Review
58258,6,1.4,70.0,78,0,3,48.346000000000004,16,1.14,Article
23471,6,6.3,10.0,34,0,4,98.572,35,2.74,Article
26496,3,6.0,4.0,130,0,1,87.214,32,1.98,Article
69160,2,,,48,0,1,56.596000000000004,14,1.92,Conference Paper
94019,2,2.0,17.0,16,0,1,97.775,10,1.05,Article
89605,4,,,10,0,1,94.495,10,1.17,Conference Paper
35175,2,7.1,3.0,15,1,1,72.333,25,1.49,Article
6292,3,2.9,19.0,25,1,2,99.904,83,5.95,Article
47885,3,0.8,67.0,14,0,3,91.56299999999999,19,2.41,Article
15334,2,,,11,0,1,90.939,47,6.95,Conference Paper
60964,1,4.3,11.0,9,1,1,92.719,16,0.97,Article
94017,2,1.8,55.0,16,0,1,99.936,10,0.62,Article
21018,2,,,57,0,3,97.351,38,2.99,Conference Paper
26579,2,,,7,0,1,88.52,31,1.41,Article
4571,6,8.1,1.0,36,0,3,93.26799999999999,102,6.09,Article
99466,2,2.6,10.0,24,0,3,97.76899999999999,9,1.22,Article
3724,2,6.8,11.0,58,0,2,87.51700000000001,115,7.63,Article
83631,4,,,17,0,2,97.01700000000001,11,2.76,Conference Paper
40192,6,7.1,3.0,55,0,3,99.083,23,2.1,Article
68669,1,10.6,3.0,12,0,2,46.794,14,1.05,Article
61660,5,5.4,6.0,16,0,3,97.35,15,1.12,Article
36390,4,2.9,23.0,59,0,2,96.072,24,1.03,Article
19647,5,4.3,7.0,59,1,3,99.065,39,2.49,Article
46717,3,2.8,30.0,19,0,3,76.443,20,1.61,Article
72500,3,5.5,11.0,15,1,1,96.67,13,0.84,Article
68894,2,,,12,0,1,96.87,14,2.34,Conference Paper
5382,2,8.2,6.0,51,0,2,99.916,92,4.16,Article
62240,1,,,15,0,1,97.042,15,1.47,Conference Paper
5728,2,4.6,20.0,62,0,1,99.54799999999999,88,5.28,Article
77701,3,1.6,40.0,9,1,2,68.60600000000001,12,0.97,Conference Paper
46981,9,1.8,44.0,40,0,3,76.089,20,1.79,Article
74259,3,,,131,0,2,98.74600000000001,13,1.69,Conference Paper
19578,3,5.4,6.0,21,0,1,99.318,40,2.62,Article
7885,3,22.0,1.0,38,1,2,99.73299999999999,72,5.23,Article
87485,7,,,12,0,1,91.96,11,1.36,Conference Paper
71363,3,1.6,40.0,15,0,1,97.145,13,1.21,Conference Paper
8065,2,4.3,3.0,49,0,2,99.057,71,6.76,Article
18626,2,8.2,5.0,43,0,2,97.62299999999999,41,2.31,Article
22556,3,7.2,2.0,31,0,1,81.789,36,2.1,Article
23343,3,4.8,20.0,58,0,6,96.588,35,1.47,Article
99187,5,5.5,8.0,59,1,2,80.656,9,0.31,Article
90973,3,1.2,53.0,11,1,2,95.382,10,1.38,Conference Paper
63472,3,,,0,0,1,99.49799999999999,15,2.28,Conference Paper
26946,3,,,9,1,2,98.133,31,4.74,Conference Paper
20987,3,5.5,5.0,30,0,1,95.086,38,1.92,Article
89128,2,,,7,0,1,99.54799999999999,10,1.11,Conference Paper
24178,4,10.3,4.0,21,0,4,94.057,34,2.44,Article
84724,1,3.6,6.0,8,1,1,61.353,11,3.77,Conference Paper
67642,3,1.6,40.0,18,1,2,97.914,14,2.17,Conference Paper
26828,4,,,17,1,1,99.99799999999999,31,3.57,Conference Paper
92807,4,1.5,43.0,26,0,3,99.412,10,1.35,Article
22905,5,7.3,6.0,9,1,4,77.143,35,2.24,Article
41232,4,4.4,16.0,18,0,3,99.171,22,1.51,Article
8425,5,,,14,1,2,99.294,69,5.21,Conference Paper
55561,3,3.3,33.0,15,0,2,86.445,17,1.36,Article
72492,6,,,32,0,3,13.682,13,0.47,Conference Paper
53652,7,,,86,1,1,58.068999999999996,17,5.06,Conference Paper
35988,4,4.9,17.0,154,1,4,98.57799999999999,25,1.12,Article
97486,4,0.6,85.0,78,0,1,99.34,9,0.79,Conference Paper
15500,3,10.6,3.0,25,0,3,94.00299999999999,47,2.73,Article
77542,6,1.4,65.0,24,0,1,97.214,12,1.37,Conference Paper
54837,3,2.4,38.0,20,0,3,89.476,17,0.91,Article
93157,4,,,13,0,4,98.821,10,1.51,Conference Paper
48125,3,,,13,0,1,97.01700000000001,19,3.75,Conference Paper
83597,3,5.1,7.0,8,1,1,87.639,11,1.23,Article
46109,4,5.6,5.0,14,0,4,78.44800000000001,20,1.35,Article
84712,2,7.2,2.0,14,0,5,86.10700000000001,11,0.23,Article
36640,4,7.6,9.0,13,0,1,96.25399999999999,24,1.04,Conference Paper
87102,7,3.7,15.0,27,0,3,97.462,11,1.94,Conference Paper
92618,7,,,26,0,6,99.49,10,2.76,Conference Paper
80103,2,8.2,6.0,33,0,1,70.891,12,0.57,Article
96217,4,1.2,53.0,10,1,1,96.949,10,1.94,Conference Paper
47393,3,3.5,8.0,28,0,4,81.094,20,0.85,Article
13584,4,4.8,6.0,26,0,2,96.23,51,5.51,Article
15042,4,12.0,2.0,26,0,3,99.73299999999999,48,2.83,Article
33090,2,,,12,0,2,15.16,27,4.51,Conference Paper
48367,6,0.3,86.0,58,0,1,99.177,19,3.26,Conference Paper
42315,12,1.6,40.0,53,1,6,92.321,22,2.66,Conference Paper
82364,4,,,16,1,2,89.398,11,0.3,Conference Paper
80049,4,3.0,32.0,51,0,8,91.454,12,0.73,Article
99608,3,2.6,33.0,86,0,3,91.193,9,0.55,Article
48590,2,5.3,2.0,38,1,2,80.494,19,1.18,Article
44946,6,2.9,35.0,20,0,3,98.39299999999999,21,1.96,Article
86988,5,5.6,5.0,38,0,1,98.964,11,1.08,Article
19609,2,2.0,17.0,29,0,1,98.756,39,4.39,Article
71390,7,0.8,62.0,60,1,1,16.316,13,1.66,Article
88886,3,,,15,0,2,79.944,10,1.73,Conference Paper
35541,3,3.3,18.0,39,1,1,58.391000000000005,25,3.43,Article
15815,5,5.4,14.0,123,1,2,98.259,46,0.6,Review
83286,5,6.2,10.0,26,1,3,90.51100000000001,11,0.93,Article
12472,4,4.7,20.0,38,0,4,97.225,54,3.13,Article
7353,3,16.3,1.0,43,0,1,87.104,76,3.46,Article
36732,8,5.2,17.0,13,0,2,43.173,24,2.75,Conference Paper
82841,3,,,6,0,2,94.709,11,1.69,Conference Paper
94991,5,2.8,32.0,21,0,1,91.89,10,1.28,Conference Paper
27478,4,6.8,11.0,57,1,5,97.11,31,2.14,Article
38529,2,4.3,7.0,44,0,1,92.03200000000001,23,2.17,Article
84290,5,2.8,30.0,28,0,4,97.0,11,0.81,Article
38874,4,,,13,1,1,82.91,23,2.67,Conference Paper
65318,1,2.6,37.0,15,1,1,61.327,15,1.09,Article
22865,3,,,18,1,3,29.781,35,2.32,Article
67305,5,,,7,0,2,96.887,14,2.15,Conference Paper
65178,1,6.2,4.0,45,0,1,88.54799999999999,15,0.86,Article
24097,7,1.6,40.0,25,1,3,87.639,34,4.1,Conference Paper
31383,3,,,10,0,3,96.334,28,6.84,Conference Paper
33529,5,2.3,42.0,45,0,5,90.98100000000001,26,2.14,Article
41136,5,1.6,40.0,23,0,5,92.088,22,2.66,Conference Paper
53939,2,,,35,0,1,72.685,17,4.11,Conference Paper
2181,4,17.4,1.0,37,0,4,98.611,159,11.47,Conference Paper
26438,4,2.3,45.0,19,0,1,91.645,32,2.38,Article
72557,3,17.7,1.0,20,0,2,96.096,13,0.62,Article
41113,4,2.2,22.0,78,1,1,46.158,22,1.45,Article
74812,2,,,8,0,2,92.574,13,2.26,Conference Paper
23427,3,,,4,0,6,,35,10.47,Editorial
7341,3,2.2,50.0,27,0,1,95.162,76,3.03,Conference Paper
98987,5,1.1,67.0,21,0,4,99.681,9,2.0,Conference Paper
49080,5,4.9,17.0,33,0,2,87.069,19,1.12,Article
54660,3,4.2,20.0,20,1,2,73.044,17,0.99,Article
29255,6,10.6,3.0,55,1,4,77.567,29,1.68,Article
74926,3,2.4,5.0,51,0,3,97.42399999999999,13,2.15,Article
56389,4,,,14,0,2,91.685,17,5.83,Conference Paper
69708,4,3.7,18.0,23,0,6,61.067,14,0.99,Article
18770,5,3.4,21.0,46,0,3,99.679,41,2.72,Article
53564,3,,,7,1,1,99.916,18,2.34,Conference Paper
61170,4,3.4,20.0,23,0,3,93.135,15,0.94,Article
21181,4,7.0,3.0,25,0,2,98.572,37,2.4,Article
46168,2,9.1,4.0,21,1,2,87.238,20,1.22,Article
542,5,11.4,1.0,66,1,2,99.61,368,61.93,Conference Paper
42140,4,5.2,17.0,15,0,4,94.37899999999999,22,1.35,Article
10726,4,8.6,3.0,74,0,5,98.473,60,3.51,Article
69642,2,1.8,35.0,28,1,1,96.208,14,3.75,Conference Paper
92325,5,5.7,9.0,35,0,5,66.20100000000001,10,0.72,Article
40072,5,3.9,12.0,57,0,4,96.499,23,1.13,Article
69422,7,1.0,65.0,25,0,1,98.656,14,4.22,Conference Paper
13371,4,3.3,31.0,23,1,2,99.354,52,4.22,Article
2594,4,,,19,1,2,99.855,142,10.04,Conference Paper
36553,5,,,37,0,3,94.535,24,6.26,Conference Paper
84247,5,,,7,0,3,90.095,11,2.23,Conference Paper
12097,5,4.9,17.0,23,1,3,94.421,55,3.1,Article
49006,2,,,68,0,1,91.3,19,2.97,Conference Paper
41977,7,5.5,11.0,26,0,4,95.209,22,1.67,Article
10532,3,8.9,4.0,31,0,2,98.943,60,4.87,Article
11845,6,4.3,10.0,66,0,5,95.993,56,3.96,Article
55828,5,,,44,0,3,68.88,17,6.24,Conference Paper
24283,6,,,7,0,2,99.73100000000001,34,4.81,Conference Paper
12114,6,,,22,1,4,99.494,55,2.06,Article
11497,7,3.5,30.0,35,1,4,96.323,57,2.22,Article
8539,6,7.8,1.0,43,1,5,99.215,69,2.58,Article
73875,7,,,10,0,3,60.31399999999999,13,2.76,Conference Paper
28395,4,,,285,0,2,63.566,30,5.17,Conference Paper
9832,3,5.7,9.0,27,0,1,96.176,63,3.49,Article
6321,5,,,23,1,2,92.81700000000001,83,13.54,Conference Paper
84190,1,3.1,20.0,25,1,1,98.499,11,1.23,Article
46801,4,4.9,17.0,20,0,3,99.125,20,0.95,Article
99589,2,,,31,0,1,88.822,9,1.86,Conference Paper
16014,1,,,19,0,1,97.646,46,5.1,Conference Paper
37547,3,4.8,7.0,51,0,1,88.428,24,2.44,Article
43041,4,7.8,1.0,53,0,3,47.318000000000005,21,1.82,Article
78691,4,,,18,0,2,99.45700000000001,12,1.38,Conference Paper
48161,2,2.5,30.0,10,1,1,91.6,19,1.6,Article
69950,4,,,41,0,1,96.79899999999999,14,2.69,Conference Paper
24059,4,5.0,6.0,19,0,1,90.35,34,1.3,Article
52431,4,6.3,10.0,18,0,1,90.53200000000001,18,1.42,Article
32392,3,,,25,0,3,99.79700000000001,27,3.38,Conference Paper
15471,2,4.3,7.0,98,0,1,85.844,47,2.98,Article
35464,1,1.1,73.0,20,1,1,67.243,25,1.31,Review
43579,3,,,17,0,2,97.334,21,4.36,Conference Paper
60327,1,0.7,68.0,12,0,1,69.68,16,6.03,Conference Paper
2075,2,6.2,4.0,477,0,2,99.946,163,7.11,Article
46829,1,2.5,40.0,13,0,1,79.971,20,0.89,Article
29056,1,,,150,0,1,99.945,29,1.88,Article
66550,3,,,10,0,1,95.51799999999999,14,2.48,Conference Paper
